FID,Id,gridcode,Persistence,Variable,Area
0,1,104,10,Variable 4,75.000000000000000
1,2,101,10,Variable 1,25.000000000000000
2,3,101,10,Variable 1,150.000000000000000
3,4,51,5,Variable 1,125.000000000000000
4,5,101,10,Variable 1,300.000000000000000
5,6,51,5,Variable 1,50.000000000000000
6,7,51,5,Variable 1,625.000000000000000
7,8,101,10,Variable 1,25.000000000000000
8,9,101,10,Variable 1,25.000000000000000
9,10,101,10,Variable 1,25.000000000000000
10,11,104,10,Variable 4,150.000000000000000
11,12,51,5,Variable 1,25.000000000000000
12,13,101,10,Variable 1,25.000000000000000
13,14,104,10,Variable 4,200.000000000000000
14,15,51,5,Variable 1,75.000000000000000
15,16,101,10,Variable 1,675.000000000000000
16,17,104,10,Variable 4,50.000000000000000
17,18,104,10,Variable 4,100.000000000000000
18,19,104,10,Variable 4,100.000000000000000
19,20,51,5,Variable 1,25.000000000000000
20,21,51,5,Variable 1,50.000000000000000
21,22,104,10,Variable 4,150.000000000000000
22,23,104,10,Variable 4,25.000000000000000
23,24,51,5,Variable 1,75.000000000000000
24,25,51,5,Variable 1,100.000000000000000
25,26,51,5,Variable 1,75.000000000000000
26,27,51,5,Variable 1,100.000000000000000
27,28,51,5,Variable 1,50.000000000000000
28,29,104,10,Variable 4,25.000000000000000
29,30,51,5,Variable 1,100.000000000000000
30,31,51,5,Variable 1,50.000000000000000
31,32,54,5,Variable 4,25.000000000000000
32,33,151,15,Variable 1,50.000000000000000
33,34,151,15,Variable 1,25.000000000000000
34,35,51,5,Variable 1,100.000000000000000
35,36,51,5,Variable 1,25.000000000000000
36,37,104,10,Variable 4,25.000000000000000
37,38,104,10,Variable 4,25.000000000000000
38,39,51,5,Variable 1,50.000000000000000
39,40,104,10,Variable 4,25.000000000000000
40,41,51,5,Variable 1,25.000000000000000
41,42,104,10,Variable 4,25.000000000000000
42,43,151,15,Variable 1,50.000000000000000
43,44,51,5,Variable 1,75.000000000000000
44,45,51,5,Variable 1,25.000000000000000
45,46,104,10,Variable 4,25.000000000000000
46,47,101,10,Variable 1,25.000000000000000
47,48,51,5,Variable 1,25.000000000000000
48,49,151,15,Variable 1,50.000000000000000
49,50,51,5,Variable 1,50.000000000000000
50,51,104,10,Variable 4,25.000000000000000
51,52,51,5,Variable 1,25.000000000000000
52,53,54,5,Variable 4,25.000000000000000
53,54,51,5,Variable 1,50.000000000000000
54,55,201,20,Variable 1,100.000000000000000
55,56,51,5,Variable 1,50.000000000000000
56,57,51,5,Variable 1,50.000000000000000
57,58,104,10,Variable 4,25.000000000000000
58,59,104,10,Variable 4,25.000000000000000
59,60,151,15,Variable 1,25.000000000000000
60,61,51,5,Variable 1,50.000000000000000
61,62,104,10,Variable 4,25.000000000000000
62,63,104,10,Variable 4,25.000000000000000
63,64,51,5,Variable 1,25.000000000000000
64,65,151,15,Variable 1,3800.000000000000000
65,66,104,10,Variable 4,50.000000000000000
66,67,51,5,Variable 1,25.000000000000000
67,68,51,5,Variable 1,25.000000000000000
68,69,51,5,Variable 1,25.000000000000000
69,70,51,5,Variable 1,25.000000000000000
70,71,104,10,Variable 4,25.000000000000000
71,72,54,5,Variable 4,25.000000000000000
72,73,51,5,Variable 1,50.000000000000000
73,74,104,10,Variable 4,25.000000000000000
74,75,51,5,Variable 1,50.000000000000000
75,76,51,5,Variable 1,50.000000000000000
76,77,51,5,Variable 1,25.000000000000000
77,78,51,5,Variable 1,25.000000000000000
78,79,104,10,Variable 4,25.000000000000000
79,80,201,20,Variable 1,25.000000000000000
80,81,54,5,Variable 4,25.000000000000000
81,82,104,10,Variable 4,25.000000000000000
82,83,104,10,Variable 4,25.000000000000000
83,84,201,20,Variable 1,25.000000000000000
84,85,104,10,Variable 4,25.000000000000000
85,86,51,5,Variable 1,4675.000000000000000
86,87,104,10,Variable 4,25.000000000000000
87,88,51,5,Variable 1,375.000000000000000
88,89,54,5,Variable 4,25.000000000000000
89,90,103,10,Variable 3,25.000000000000000
90,91,54,5,Variable 4,25.000000000000000
91,92,51,5,Variable 1,25.000000000000000
92,93,51,5,Variable 1,625.000000000000000
93,94,104,10,Variable 4,25.000000000000000
94,95,151,15,Variable 1,25.000000000000000
95,96,51,5,Variable 1,25.000000000000000
96,97,104,10,Variable 4,25.000000000000000
97,98,51,5,Variable 1,25.000000000000000
98,99,153,15,Variable 3,50.000000000000000
99,100,151,15,Variable 1,25.000000000000000
100,101,101,10,Variable 1,25.000000000000000
101,102,101,10,Variable 1,25.000000000000000
102,103,104,10,Variable 4,25.000000000000000
103,104,151,15,Variable 1,75.000000000000000
104,105,104,10,Variable 4,25.000000000000000
105,106,201,20,Variable 1,25.000000000000000
